Date,JPYUSD,GBPUSD,EURUSD,CADCNY,CADUSD,CADEUR,AUDJPY,NZDUSD,EURJPY,GBPJPY,EURGBP,EURSEK,EURCHF,EURHUF,CHFUSD,USDHKD,USDSGD,USDINR,USDMXN,USDPHP,USDIDR,USDTHB,USDMYR,USDZAR,CNYUSD
2006-01-02,117.800003,1.719188,1.181698,6.9147,0.858369,0.72611,86.169998,0.681385,139.199997,202.5,0.6872,9.4055,1.5544,252.380005,1.3158,7.7542,1.662,44.98,10.633,52.939999,9826.900391,40.959,3.7789,6.31,8.0682
2006-01-03,115.980003,1.748588,1.203297,6.9349,0.865202,0.71849,85.980003,0.681617,139.490005,202.660004,0.6883,9.3633,1.5503,251.210007,1.2884,7.7527,1.649,44.860001,10.606,52.389999,9648.900391,40.693001,3.7616,6.1916,8.0662
2006-01-04,116.220001,1.757315,1.211196,6.9967,0.870474,0.71818,86.760002,0.689608,140.779999,204.210007,0.6891,9.33,1.5467,250.050003,1.2771,7.7538,1.6452,44.68,10.581,52.299999,9623.0,40.339001,3.7641,6.1305,8.067
2006-01-05,116.0,1.75531,1.210698,6.9165,0.860882,0.71028,86.660004,0.686012,140.399994,203.539993,0.6896,9.3325,1.5453,250.289993,1.2765,7.7518,1.6463,44.669998,10.631,52.310001,9582.400391,40.130001,3.7629,6.1351,8.0637
2006-01-06,114.389999,1.770789,1.215407,6.8992,0.85778,0.70537,86.218002,0.69099,139.009995,202.539993,0.6861,9.3154,1.5426,250.149994,1.2698,7.7441,1.6379,44.290001,10.5585,52.380001,9528.900391,39.717999,3.7493,6.05,8.063
2006-01-09,114.540001,1.764602,1.207496,6.8847,0.856458,0.70907,86.129997,0.693289,138.289993,202.070007,0.6842,9.3401,1.5421,249.429993,1.2773,7.7521,1.6352,44.259998,10.5755,52.310001,9458.700195,39.665001,3.7485,6.02,8.062101
2006-01-10,114.449997,1.764509,1.206404,6.9187,0.859993,0.71245,85.769997,0.694686,138.039993,201.899994,0.6834,9.3579,1.5446,250.289993,1.2806,7.7518,1.6334,44.18,10.624,52.310001,9442.0,39.744999,3.7485,6.07,8.062
2006-01-11,114.279999,1.766691,1.213902,6.9458,0.86326,0.71073,86.279999,0.697204,138.710007,201.860001,0.687,9.3449,1.5461,249.580002,1.2738,7.751,1.6289,43.919998,10.5895,52.310001,9383.0,39.632999,3.7435,5.97,8.066
2006-01-12,114.629997,1.760904,1.2045,6.9261,0.861401,0.71485,85.949997,0.694011,138.0,201.729996,0.6839,9.3119,1.5467,249.820007,1.2847,7.751,1.6288,43.939999,10.5763,52.049999,9335.0,39.513,3.7405,6.0471,8.0639
2006-01-13,114.220001,1.777493,1.2143,6.9335,0.863036,0.71119,86.425003,0.697983,138.630005,203.119995,0.6823,9.3413,1.5472,250.339996,1.2763,7.7355,1.6282,44.07,10.553,52.150002,9249.299805,39.555,3.7261,6.0166,8.0678
2006-01-16,115.120003,1.76641,1.211607,6.9559,0.86408,0.71271,86.709999,0.695604,139.429993,203.240005,0.68575,9.3335,1.5497,249.509995,1.2791,7.753,1.6349,44.119999,10.5465,52.25,9358.900391,39.654999,3.744,5.985,8.0653
